"Language","original","english","czech","german","russian","polish","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_CookZ_GoulashCan_DN","Goulash","Goulash","Goulash","Gulasch","Goulash","Goulash","Goulash","Goulash","Goulash","Goulash","Goulash","Goulash","Goulash",
"STR_CookZ_GoulashCan_DS","A hearty dish with meat, potatoes, and bell peppers, slow-cooked to bring out the deep, comforting flavors.","A hearty dish with meat, potatoes, and bell peppers, slow-cooked to bring out the deep, comforting flavors.","A hearty dish with meat, potatoes, and bell peppers, slow-cooked to bring out the deep, comforting flavors.","Ein herzhaftes Gericht mit Fleisch, Kartoffeln und Paprika, langsam gekocht, um den vollen Geschmack zu entfalten und lange haltbar zu sein.","A hearty dish with meat, potatoes, and bell peppers, slow-cooked to bring out the deep, comforting flavors.","A hearty dish with meat, potatoes, and bell peppers, slow-cooked to bring out the deep, comforting flavors.","A hearty dish with meat, potatoes, and bell peppers, slow-cooked to bring out the deep, comforting flavors.","A hearty dish with meat, potatoes, and bell peppers, slow-cooked to bring out the deep, comforting flavors.","A hearty dish with meat, potatoes, and bell peppers, slow-cooked to bring out the deep, comforting flavors.","A hearty dish with meat, potatoes, and bell peppers, slow-cooked to bring out the deep, comforting flavors.","A hearty dish with meat, potatoes, and bell peppers, slow-cooked to bring out the deep, comforting flavors.","A hearty dish with meat, potatoes, and bell peppers, slow-cooked to bring out the deep, comforting flavors.","A hearty dish with meat, potatoes, and bell peppers, slow-cooked to bring out the deep, comforting flavors.",
"STR_CookZ_GoulashCan_Opened_DS","A hearty dish with meat, potatoes, and bell peppers, slow-cooked to bring out the deep, comforting flavors. Eat up before it spoils.","A hearty dish with meat, potatoes, and bell peppers, slow-cooked to bring out the deep, comforting flavors. Eat up before it spoils.","A hearty dish with meat, potatoes, and bell peppers, slow-cooked to bring out the deep, comforting flavors. Eat up before it spoils.","Ein herzhaftes Gericht mit Fleisch, Kartoffeln und Paprika, langsam gekocht, um den vollen Geschmack zu entfalten und lange haltbar zu sein. Nach dem Öffnen rasch verzehren.","A hearty dish with meat, potatoes, and bell peppers, slow-cooked to bring out the deep, comforting flavors. Eat up before it spoils.","A hearty dish with meat, potatoes, and bell peppers, slow-cooked to bring out the deep, comforting flavors. Eat up before it spoils.","A hearty dish with meat, potatoes, and bell peppers, slow-cooked to bring out the deep, comforting flavors. Eat up before it spoils.","A hearty dish with meat, potatoes, and bell peppers, slow-cooked to bring out the deep, comforting flavors. Eat up before it spoils.","A hearty dish with meat, potatoes, and bell peppers, slow-cooked to bring out the deep, comforting flavors. Eat up before it spoils.","A hearty dish with meat, potatoes, and bell peppers, slow-cooked to bring out the deep, comforting flavors. Eat up before it spoils.","A hearty dish with meat, potatoes, and bell peppers, slow-cooked to bring out the deep, comforting flavors. Eat up before it spoils.","A hearty dish with meat, potatoes, and bell peppers, slow-cooked to bring out the deep, comforting flavors. Eat up before it spoils.","A hearty dish with meat, potatoes, and bell peppers, slow-cooked to bring out the deep, comforting flavors. Eat up before it spoils.",
"STR_CookZ_PumpkinSoupCan_DN","Pumpkin Soup","Pumpkin Soup","Pumpkin Soup","Kürbissuppe","Pumpkin Soup","Pumpkin Soup","Pumpkin Soup","Pumpkin Soup","Pumpkin Soup","Pumpkin Soup","Pumpkin Soup","Pumpkin Soup","Pumpkin Soup",
"STR_CookZ_PumpkinSoupCan_DS","A smooth and creamy soup made from pumpkin, offering a comforting, slightly sweet flavor perfect for cooler days.","A smooth and creamy soup made from pumpkin, offering a comforting, slightly sweet flavor perfect for cooler days.","A smooth and creamy soup made from pumpkin, offering a comforting, slightly sweet flavor perfect for cooler days.","Eine cremige Suppe aus Kürbis, die einen angenehmen, leicht süßen Geschmack bietet – ideal für die kalte Jahreszeit.","A smooth and creamy soup made from pumpkin, offering a comforting, slightly sweet flavor perfect for cooler days.","A smooth and creamy soup made from pumpkin, offering a comforting, slightly sweet flavor perfect for cooler days.","A smooth and creamy soup made from pumpkin, offering a comforting, slightly sweet flavor perfect for cooler days.","A smooth and creamy soup made from pumpkin, offering a comforting, slightly sweet flavor perfect for cooler days.","A smooth and creamy soup made from pumpkin, offering a comforting, slightly sweet flavor perfect for cooler days.","A smooth and creamy soup made from pumpkin, offering a comforting, slightly sweet flavor perfect for cooler days.","A smooth and creamy soup made from pumpkin, offering a comforting, slightly sweet flavor perfect for cooler days.","A smooth and creamy soup made from pumpkin, offering a comforting, slightly sweet flavor perfect for cooler days.","A smooth and creamy soup made from pumpkin, offering a comforting, slightly sweet flavor perfect for cooler days.",
"STR_CookZ_PumpkinSoupCan_Opened_DS","A smooth and creamy soup made from pumpkin, offering a comforting, slightly sweet flavor perfect for cooler days. Eat up before it spoils.","A smooth and creamy soup made from pumpkin, offering a comforting, slightly sweet flavor perfect for cooler days. Eat up before it spoils.","A smooth and creamy soup made from pumpkin, offering a comforting, slightly sweet flavor perfect for cooler days. Eat up before it spoils.","Eine cremige Suppe aus Kürbis, die einen angenehmen, leicht süßen Geschmack bietet – ideal für die kalte Jahreszeit. Nach dem Öffnen rasch verzehren.","A smooth and creamy soup made from pumpkin, offering a comforting, slightly sweet flavor perfect for cooler days. Eat up before it spoils.","A smooth and creamy soup made from pumpkin, offering a comforting, slightly sweet flavor perfect for cooler days. Eat up before it spoils.","A smooth and creamy soup made from pumpkin, offering a comforting, slightly sweet flavor perfect for cooler days. Eat up before it spoils.","A smooth and creamy soup made from pumpkin, offering a comforting, slightly sweet flavor perfect for cooler days. Eat up before it spoils.","A smooth and creamy soup made from pumpkin, offering a comforting, slightly sweet flavor perfect for cooler days. Eat up before it spoils.","A smooth and creamy soup made from pumpkin, offering a comforting, slightly sweet flavor perfect for cooler days. Eat up before it spoils.","A smooth and creamy soup made from pumpkin, offering a comforting, slightly sweet flavor perfect for cooler days. Eat up before it spoils.","A smooth and creamy soup made from pumpkin, offering a comforting, slightly sweet flavor perfect for cooler days. Eat up before it spoils.","A smooth and creamy soup made from pumpkin, offering a comforting, slightly sweet flavor perfect for cooler days. Eat up before it spoils.",
"STR_CookZ_FishSoupCan_DN","Fish Soup","Fish Soup","Fish Soup","Fischsuppe","Fish Soup","Fish Soup","Fish Soup","Fish Soup","Fish Soup","Fish Soup","Fish Soup","Fish Soup","Fish Soup",
"STR_CookZ_FishSoupCan_DS","A light and flavorful soup made with fish, potatoes, and tomatoes. A simple yet satisfying dish, perfect for a quick meal.","A light and flavorful soup made with fish, potatoes, and tomatoes. A simple yet satisfying dish, perfect for a quick meal.","A light and flavorful soup made with fish, potatoes, and tomatoes. A simple yet satisfying dish, perfect for a quick meal.","Eine leichte und geschmackvolle Suppe aus Fisch, Kartoffeln und Tomaten. Ein einfaches, aber sättigendes Gericht, ideal für eine schnelle Mahlzeit.","A light and flavorful soup made with fish, potatoes, and tomatoes. A simple yet satisfying dish, perfect for a quick meal.","A light and flavorful soup made with fish, potatoes, and tomatoes. A simple yet satisfying dish, perfect for a quick meal.","A light and flavorful soup made with fish, potatoes, and tomatoes. A simple yet satisfying dish, perfect for a quick meal.","A light and flavorful soup made with fish, potatoes, and tomatoes. A simple yet satisfying dish, perfect for a quick meal.","A light and flavorful soup made with fish, potatoes, and tomatoes. A simple yet satisfying dish, perfect for a quick meal.","A light and flavorful soup made with fish, potatoes, and tomatoes. A simple yet satisfying dish, perfect for a quick meal.","A light and flavorful soup made with fish, potatoes, and tomatoes. A simple yet satisfying dish, perfect for a quick meal.","A light and flavorful soup made with fish, potatoes, and tomatoes. A simple yet satisfying dish, perfect for a quick meal.","A light and flavorful soup made with fish, potatoes, and tomatoes. A simple yet satisfying dish, perfect for a quick meal.",
"STR_CookZ_FishSoupCan_Opened_DS","A light and flavorful soup made with fish, potatoes, and tomatoes. A simple yet satisfying dish, perfect for a quick meal. Eat up before it spoils.","A light and flavorful soup made with fish, potatoes, and tomatoes. A simple yet satisfying dish, perfect for a quick meal. Eat up before it spoils.","A light and flavorful soup made with fish, potatoes, and tomatoes. A simple yet satisfying dish, perfect for a quick meal. Eat up before it spoils.","Eine leichte und geschmackvolle Suppe aus Fisch, Kartoffeln und Tomaten. Ein einfaches, aber sättigendes Gericht, ideal für eine schnelle Mahlzeit. Nach dem Öffnen rasch verzehren.","A light and flavorful soup made with fish, potatoes, and tomatoes. A simple yet satisfying dish, perfect for a quick meal. Eat up before it spoils.","A light and flavorful soup made with fish, potatoes, and tomatoes. A simple yet satisfying dish, perfect for a quick meal. Eat up before it spoils.","A light and flavorful soup made with fish, potatoes, and tomatoes. A simple yet satisfying dish, perfect for a quick meal. Eat up before it spoils.","A light and flavorful soup made with fish, potatoes, and tomatoes. A simple yet satisfying dish, perfect for a quick meal. Eat up before it spoils.","A light and flavorful soup made with fish, potatoes, and tomatoes. A simple yet satisfying dish, perfect for a quick meal. Eat up before it spoils.","A light and flavorful soup made with fish, potatoes, and tomatoes. A simple yet satisfying dish, perfect for a quick meal. Eat up before it spoils.","A light and flavorful soup made with fish, potatoes, and tomatoes. A simple yet satisfying dish, perfect for a quick meal. Eat up before it spoils.","A light and flavorful soup made with fish, potatoes, and tomatoes. A simple yet satisfying dish, perfect for a quick meal. Eat up before it spoils.","A light and flavorful soup made with fish, potatoes, and tomatoes. A simple yet satisfying dish, perfect for a quick meal. Eat up before it spoils.",
"STR_CookZ_UkhaCan_DN","Ukha","Ukha","Ukha","Ukha","Ukha","Ukha","Ukha","Ukha","Ukha","Ukha","Ukha","Ukha","Ukha",
"STR_CookZ_UkhaCan_DS","A traditional fish soup made with fish, potatoes, and tomatoes, enhanced with a splash of alcohol for added depth and warmth.","A traditional fish soup made with fish, potatoes, and tomatoes, enhanced with a splash of alcohol for added depth and warmth.","A traditional fish soup made with fish, potatoes, and tomatoes, enhanced with a splash of alcohol for added depth and warmth.","Eine traditionelle Fischsuppe aus Fisch, Kartoffeln und Tomaten, verfeinert mit einem Schuss Alkohol für mehr Tiefe und Wärme.","A traditional fish soup made with fish, potatoes, and tomatoes, enhanced with a splash of alcohol for added depth and warmth.","A traditional fish soup made with fish, potatoes, and tomatoes, enhanced with a splash of alcohol for added depth and warmth.","A traditional fish soup made with fish, potatoes, and tomatoes, enhanced with a splash of alcohol for added depth and warmth.","A traditional fish soup made with fish, potatoes, and tomatoes, enhanced with a splash of alcohol for added depth and warmth.","A traditional fish soup made with fish, potatoes, and tomatoes, enhanced with a splash of alcohol for added depth and warmth.","A traditional fish soup made with fish, potatoes, and tomatoes, enhanced with a splash of alcohol for added depth and warmth.","A traditional fish soup made with fish, potatoes, and tomatoes, enhanced with a splash of alcohol for added depth and warmth.","A traditional fish soup made with fish, potatoes, and tomatoes, enhanced with a splash of alcohol for added depth and warmth.","A traditional fish soup made with fish, potatoes, and tomatoes, enhanced with a splash of alcohol for added depth and warmth.",
"STR_CookZ_UkhaCan_Opened_DS","A traditional fish soup made with fish, potatoes, and tomatoes, enhanced with a splash of alcohol for added depth and warmth. Eat up before it spoils.","A traditional fish soup made with fish, potatoes, and tomatoes, enhanced with a splash of alcohol for added depth and warmth. Eat up before it spoils.","A traditional fish soup made with fish, potatoes, and tomatoes, enhanced with a splash of alcohol for added depth and warmth. Eat up before it spoils.","Eine traditionelle Fischsuppe aus Fisch, Kartoffeln und Tomaten, verfeinert mit einem Schuss Alkohol für mehr Tiefe und Wärme. Nach dem Öffnen rasch verzehren.","A traditional fish soup made with fish, potatoes, and tomatoes, enhanced with a splash of alcohol for added depth and warmth. Eat up before it spoils.","A traditional fish soup made with fish, potatoes, and tomatoes, enhanced with a splash of alcohol for added depth and warmth. Eat up before it spoils.","A traditional fish soup made with fish, potatoes, and tomatoes, enhanced with a splash of alcohol for added depth and warmth. Eat up before it spoils.","A traditional fish soup made with fish, potatoes, and tomatoes, enhanced with a splash of alcohol for added depth and warmth. Eat up before it spoils.","A traditional fish soup made with fish, potatoes, and tomatoes, enhanced with a splash of alcohol for added depth and warmth. Eat up before it spoils.","A traditional fish soup made with fish, potatoes, and tomatoes, enhanced with a splash of alcohol for added depth and warmth. Eat up before it spoils.","A traditional fish soup made with fish, potatoes, and tomatoes, enhanced with a splash of alcohol for added depth and warmth. Eat up before it spoils.","A traditional fish soup made with fish, potatoes, and tomatoes, enhanced with a splash of alcohol for added depth and warmth. Eat up before it spoils.","A traditional fish soup made with fish, potatoes, and tomatoes, enhanced with a splash of alcohol for added depth and warmth. Eat up before it spoils.",
"STR_CookZ_LecsoCan_DN","Lecso","Lecso","Lecso","Letscho","Lecso","Lecso","Lecso","Lecso","Lecso","Lecso","Lecso","Lecso","Lecso",
"STR_CookZ_LecsoCan_DS","A simple, flavorful dish made with bell peppers and tomatoes, cooked together to create a fresh, comforting stew.","A simple, flavorful dish made with bell peppers and tomatoes, cooked together to create a fresh, comforting stew.","A simple, flavorful dish made with bell peppers and tomatoes, cooked together to create a fresh, comforting stew.","Ein einfaches, schmackhaftes Gericht aus Paprika und Tomaten, zusammen gekocht zu einem frischen, herzhaften Eintopf.","A simple, flavorful dish made with bell peppers and tomatoes, cooked together to create a fresh, comforting stew.","A simple, flavorful dish made with bell peppers and tomatoes, cooked together to create a fresh, comforting stew.","A simple, flavorful dish made with bell peppers and tomatoes, cooked together to create a fresh, comforting stew.","A simple, flavorful dish made with bell peppers and tomatoes, cooked together to create a fresh, comforting stew.","A simple, flavorful dish made with bell peppers and tomatoes, cooked together to create a fresh, comforting stew.","A simple, flavorful dish made with bell peppers and tomatoes, cooked together to create a fresh, comforting stew.","A simple, flavorful dish made with bell peppers and tomatoes, cooked together to create a fresh, comforting stew.","A simple, flavorful dish made with bell peppers and tomatoes, cooked together to create a fresh, comforting stew.","A simple, flavorful dish made with bell peppers and tomatoes, cooked together to create a fresh, comforting stew.",
"STR_CookZ_LecsoCan_Opened_DS","A simple, flavorful dish made with bell peppers and tomatoes, cooked together to create a fresh, comforting stew. Eat up before it spoils.","A simple, flavorful dish made with bell peppers and tomatoes, cooked together to create a fresh, comforting stew. Eat up before it spoils.","A simple, flavorful dish made with bell peppers and tomatoes, cooked together to create a fresh, comforting stew. Eat up before it spoils.","Ein einfaches, schmackhaftes Gericht aus Paprika und Tomaten, zusammen gekocht zu einem frischen, herzhaften Eintopf. Nach dem Öffnen rasch verzehren.","A simple, flavorful dish made with bell peppers and tomatoes, cooked together to create a fresh, comforting stew. Eat up before it spoils.","A simple, flavorful dish made with bell peppers and tomatoes, cooked together to create a fresh, comforting stew. Eat up before it spoils.","A simple, flavorful dish made with bell peppers and tomatoes, cooked together to create a fresh, comforting stew. Eat up before it spoils.","A simple, flavorful dish made with bell peppers and tomatoes, cooked together to create a fresh, comforting stew. Eat up before it spoils.","A simple, flavorful dish made with bell peppers and tomatoes, cooked together to create a fresh, comforting stew. Eat up before it spoils.","A simple, flavorful dish made with bell peppers and tomatoes, cooked together to create a fresh, comforting stew. Eat up before it spoils.","A simple, flavorful dish made with bell peppers and tomatoes, cooked together to create a fresh, comforting stew. Eat up before it spoils.","A simple, flavorful dish made with bell peppers and tomatoes, cooked together to create a fresh, comforting stew. Eat up before it spoils.","A simple, flavorful dish made with bell peppers and tomatoes, cooked together to create a fresh, comforting stew. Eat up before it spoils.",
"STR_CookZ_MysteryMeatCan_DN","Mystery Meat","Mystery Meat","Mystery Meat","Fleischgemisch Deluxe","Mystery Meat","Mystery Meat","Mystery Meat","Mystery Meat","Mystery Meat","Mystery Meat","Mystery Meat","Mystery Meat","Mystery Meat",
"STR_CookZ_MysteryMeatCan_DS","A processed meat blend with a distinct, savory flavor and hearty texture. It’s simple, filling, and perfect for a quick meal.","A processed meat blend with a distinct, savory flavor and hearty texture. It’s simple, filling, and perfect for a quick meal.","A processed meat blend with a distinct, savory flavor and hearty texture. It’s simple, filling, and perfect for a quick meal.","Eine Mischung aus verarbeitetem Fleisch mit einem markanten, herzhaften Geschmack und einer kräftigen Textur. Einfach, sättigend und perfekt für eine schnelle Mahlzeit.","A processed meat blend with a distinct, savory flavor and hearty texture. It’s simple, filling, and perfect for a quick meal.","A processed meat blend with a distinct, savory flavor and hearty texture. It’s simple, filling, and perfect for a quick meal.","A processed meat blend with a distinct, savory flavor and hearty texture. It’s simple, filling, and perfect for a quick meal.","A processed meat blend with a distinct, savory flavor and hearty texture. It’s simple, filling, and perfect for a quick meal.","A processed meat blend with a distinct, savory flavor and hearty texture. It’s simple, filling, and perfect for a quick meal.","A processed meat blend with a distinct, savory flavor and hearty texture. It’s simple, filling, and perfect for a quick meal.","A processed meat blend with a distinct, savory flavor and hearty texture. It’s simple, filling, and perfect for a quick meal.","A processed meat blend with a distinct, savory flavor and hearty texture. It’s simple, filling, and perfect for a quick meal.","A processed meat blend with a distinct, savory flavor and hearty texture. It’s simple, filling, and perfect for a quick meal.",
"STR_CookZ_MysteryMeatCan_Opened_DS","A processed meat blend with a distinct, savory flavor and hearty texture. It’s simple, filling, and perfect for a quick meal. Eat up before it spoils.","A processed meat blend with a distinct, savory flavor and hearty texture. It’s simple, filling, and perfect for a quick meal. Eat up before it spoils.","A processed meat blend with a distinct, savory flavor and hearty texture. It’s simple, filling, and perfect for a quick meal. Eat up before it spoils.","Eine Mischung aus verarbeitetem Fleisch mit einem markanten, herzhaften Geschmack und einer kräftigen Textur. Einfach, sättigend und perfekt für eine schnelle Mahlzeit. Nach dem Öffnen rasch verzehren.","A processed meat blend with a distinct, savory flavor and hearty texture. It’s simple, filling, and perfect for a quick meal. Eat up before it spoils.","A processed meat blend with a distinct, savory flavor and hearty texture. It’s simple, filling, and perfect for a quick meal. Eat up before it spoils.","A processed meat blend with a distinct, savory flavor and hearty texture. It’s simple, filling, and perfect for a quick meal. Eat up before it spoils.","A processed meat blend with a distinct, savory flavor and hearty texture. It’s simple, filling, and perfect for a quick meal. Eat up before it spoils.","A processed meat blend with a distinct, savory flavor and hearty texture. It’s simple, filling, and perfect for a quick meal. Eat up before it spoils.","A processed meat blend with a distinct, savory flavor and hearty texture. It’s simple, filling, and perfect for a quick meal. Eat up before it spoils.","A processed meat blend with a distinct, savory flavor and hearty texture. It’s simple, filling, and perfect for a quick meal. Eat up before it spoils.","A processed meat blend with a distinct, savory flavor and hearty texture. It’s simple, filling, and perfect for a quick meal. Eat up before it spoils.","A processed meat blend with a distinct, savory flavor and hearty texture. It’s simple, filling, and perfect for a quick meal. Eat up before it spoils.",
"STR_CookZ_ZucchiniCaviarCan_DN","Zucchini Caviar","Zucchini Caviar","Zucchini Caviar","Zucchini-Kaviar","Zucchini Caviar","Zucchini Caviar","Zucchini Caviar","Zucchini Caviar","Zucchini Caviar","Zucchini Caviar","Zucchini Caviar","Zucchini Caviar","Zucchini Caviar",
"STR_CookZ_ZucchiniCaviarCan_DS","A veggie-based caviar made from zucchini, offering a fresh and earthy twist on the classic delicacy. Perfect as a garnish or spread.","A veggie-based caviar made from zucchini, offering a fresh and earthy twist on the classic delicacy. Perfect as a garnish or spread.","A veggie-based caviar made from zucchini, offering a fresh and earthy twist on the classic delicacy. Perfect as a garnish or spread.","Ein Kaviar aus Zucchini, der einen frischen, geschmackvollen Twist auf das klassische Gericht bringt. Ideal als Beilage oder Aufstrich.","A veggie-based caviar made from zucchini, offering a fresh and earthy twist on the classic delicacy. Perfect as a garnish or spread.","A veggie-based caviar made from zucchini, offering a fresh and earthy twist on the classic delicacy. Perfect as a garnish or spread.","A veggie-based caviar made from zucchini, offering a fresh and earthy twist on the classic delicacy. Perfect as a garnish or spread.","A veggie-based caviar made from zucchini, offering a fresh and earthy twist on the classic delicacy. Perfect as a garnish or spread.","A veggie-based caviar made from zucchini, offering a fresh and earthy twist on the classic delicacy. Perfect as a garnish or spread.","A veggie-based caviar made from zucchini, offering a fresh and earthy twist on the classic delicacy. Perfect as a garnish or spread.","A veggie-based caviar made from zucchini, offering a fresh and earthy twist on the classic delicacy. Perfect as a garnish or spread.","A veggie-based caviar made from zucchini, offering a fresh and earthy twist on the classic delicacy. Perfect as a garnish or spread.","A veggie-based caviar made from zucchini, offering a fresh and earthy twist on the classic delicacy. Perfect as a garnish or spread.",
"STR_CookZ_ZucchiniCaviarCan_Opened_DS","A veggie-based caviar made from zucchini, offering a fresh and earthy twist on the classic delicacy. Perfect as a garnish or spread. Eat up before it spoils.","A veggie-based caviar made from zucchini, offering a fresh and earthy twist on the classic delicacy. Perfect as a garnish or spread. Eat up before it spoils.","A veggie-based caviar made from zucchini, offering a fresh and earthy twist on the classic delicacy. Perfect as a garnish or spread. Eat up before it spoils.","Ein Kaviar aus Zucchini, der einen frischen, geschmackvollen Twist auf das klassische Gericht bringt. Ideal als Beilage oder Aufstrich. Nach dem Öffnen rasch verzehren.","A veggie-based caviar made from zucchini, offering a fresh and earthy twist on the classic delicacy. Perfect as a garnish or spread. Eat up before it spoils.","A veggie-based caviar made from zucchini, offering a fresh and earthy twist on the classic delicacy. Perfect as a garnish or spread. Eat up before it spoils.","A veggie-based caviar made from zucchini, offering a fresh and earthy twist on the classic delicacy. Perfect as a garnish or spread. Eat up before it spoils.","A veggie-based caviar made from zucchini, offering a fresh and earthy twist on the classic delicacy. Perfect as a garnish or spread. Eat up before it spoils.","A veggie-based caviar made from zucchini, offering a fresh and earthy twist on the classic delicacy. Perfect as a garnish or spread. Eat up before it spoils.","A veggie-based caviar made from zucchini, offering a fresh and earthy twist on the classic delicacy. Perfect as a garnish or spread. Eat up before it spoils.","A veggie-based caviar made from zucchini, offering a fresh and earthy twist on the classic delicacy. Perfect as a garnish or spread. Eat up before it spoils.","A veggie-based caviar made from zucchini, offering a fresh and earthy twist on the classic delicacy. Perfect as a garnish or spread. Eat up before it spoils.","A veggie-based caviar made from zucchini, offering a fresh and earthy twist on the classic delicacy. Perfect as a garnish or spread. Eat up before it spoils.",
"STR_CookZ_CreamyTomatoSoupCan_DN","Creamy Tomato Soup","Creamy Tomato Soup","Creamy Tomato Soup","Tomatencremesuppe","Creamy Tomato Soup","Creamy Tomato Soup","Creamy Tomato Soup","Creamy Tomato Soup","Creamy Tomato Soup","Creamy Tomato Soup","Creamy Tomato Soup","Creamy Tomato Soup","Creamy Tomato Soup",
"STR_CookZ_CreamyTomatoSoupCan_DS","A smooth and velvety tomato soup, rich in flavor and perfectly creamy. Ideal for warming up on a chilly day.","A smooth and velvety tomato soup, rich in flavor and perfectly creamy. Ideal for warming up on a chilly day.","A smooth and velvety tomato soup, rich in flavor and perfectly creamy. Ideal for warming up on a chilly day.","Eine cremige Tomatensuppe, die reich an Geschmack ist und perfekt zart daherkommt. Ideal, um sich an einem kühlen Tag zu wärmen.","A smooth and velvety tomato soup, rich in flavor and perfectly creamy. Ideal for warming up on a chilly day.","A smooth and velvety tomato soup, rich in flavor and perfectly creamy. Ideal for warming up on a chilly day.","A smooth and velvety tomato soup, rich in flavor and perfectly creamy. Ideal for warming up on a chilly day.","A smooth and velvety tomato soup, rich in flavor and perfectly creamy. Ideal for warming up on a chilly day.","A smooth and velvety tomato soup, rich in flavor and perfectly creamy. Ideal for warming up on a chilly day.","A smooth and velvety tomato soup, rich in flavor and perfectly creamy. Ideal for warming up on a chilly day.","A smooth and velvety tomato soup, rich in flavor and perfectly creamy. Ideal for warming up on a chilly day.","A smooth and velvety tomato soup, rich in flavor and perfectly creamy. Ideal for warming up on a chilly day.","A smooth and velvety tomato soup, rich in flavor and perfectly creamy. Ideal for warming up on a chilly day.",
"STR_CookZ_CreamyTomatoSoupCan_Opened_DS","A smooth and velvety tomato soup, rich in flavor and perfectly creamy. Ideal for warming up on a chilly day. Eat up before it spoils.","A smooth and velvety tomato soup, rich in flavor and perfectly creamy. Ideal for warming up on a chilly day. Eat up before it spoils.","A smooth and velvety tomato soup, rich in flavor and perfectly creamy. Ideal for warming up on a chilly day. Eat up before it spoils.","Eine cremige Tomatensuppe, die reich an Geschmack ist und perfekt zart daherkommt. Ideal, um sich an einem kühlen Tag zu wärmen. Nach dem Öffnen rasch verzehren.","A smooth and velvety tomato soup, rich in flavor and perfectly creamy. Ideal for warming up on a chilly day. Eat up before it spoils.","A smooth and velvety tomato soup, rich in flavor and perfectly creamy. Ideal for warming up on a chilly day. Eat up before it spoils.","A smooth and velvety tomato soup, rich in flavor and perfectly creamy. Ideal for warming up on a chilly day. Eat up before it spoils.","A smooth and velvety tomato soup, rich in flavor and perfectly creamy. Ideal for warming up on a chilly day. Eat up before it spoils.","A smooth and velvety tomato soup, rich in flavor and perfectly creamy. Ideal for warming up on a chilly day. Eat up before it spoils.","A smooth and velvety tomato soup, rich in flavor and perfectly creamy. Ideal for warming up on a chilly day. Eat up before it spoils.","A smooth and velvety tomato soup, rich in flavor and perfectly creamy. Ideal for warming up on a chilly day. Eat up before it spoils.","A smooth and velvety tomato soup, rich in flavor and perfectly creamy. Ideal for warming up on a chilly day. Eat up before it spoils.","A smooth and velvety tomato soup, rich in flavor and perfectly creamy. Ideal for warming up on a chilly day. Eat up before it spoils.",
"STR_CookZ_MushroomStroganoffCan_DN","Mushroom Stroganoff","Mushroom Stroganoff","Mushroom Stroganoff","Pilz-Stroganoff","Mushroom Stroganoff","Mushroom Stroganoff","Mushroom Stroganoff","Mushroom Stroganoff","Mushroom Stroganoff","Mushroom Stroganoff","Mushroom Stroganoff","Mushroom Stroganoff","Mushroom Stroganoff",
"STR_CookZ_MushroomStroganoffCan_DS","A delicious variation of Stroganoff, featuring mushrooms in a rich, creamy sauce. A satisfying and comforting dish for any occasion.","A delicious variation of Stroganoff, featuring mushrooms in a rich, creamy sauce. A satisfying and comforting dish for any occasion.","A delicious variation of Stroganoff, featuring mushrooms in a rich, creamy sauce. A satisfying and comforting dish for any occasion.","Eine köstliche Variation des Stroganoff, bei der Pilze in einer cremigen Sauce serviert werden. Ein sättigendes Gericht für jeden Anlass.","A delicious variation of Stroganoff, featuring mushrooms in a rich, creamy sauce. A satisfying and comforting dish for any occasion.","A delicious variation of Stroganoff, featuring mushrooms in a rich, creamy sauce. A satisfying and comforting dish for any occasion.","A delicious variation of Stroganoff, featuring mushrooms in a rich, creamy sauce. A satisfying and comforting dish for any occasion.","A delicious variation of Stroganoff, featuring mushrooms in a rich, creamy sauce. A satisfying and comforting dish for any occasion.","A delicious variation of Stroganoff, featuring mushrooms in a rich, creamy sauce. A satisfying and comforting dish for any occasion.","A delicious variation of Stroganoff, featuring mushrooms in a rich, creamy sauce. A satisfying and comforting dish for any occasion.","A delicious variation of Stroganoff, featuring mushrooms in a rich, creamy sauce. A satisfying and comforting dish for any occasion.","A delicious variation of Stroganoff, featuring mushrooms in a rich, creamy sauce. A satisfying and comforting dish for any occasion.","A delicious variation of Stroganoff, featuring mushrooms in a rich, creamy sauce. A satisfying and comforting dish for any occasion.",
